Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-06-25,BL,Phoenix Tubes,"Bethlehem, PA",Illy,P215344,,"304, 3"" x 6""x 1/4"" x 20'","6,000lbs",,,,,,Y,Y,Y
2024-07-25,DAN,Amerinox ,"Camden, NJ",Rick,P214520,,"201 2B, .210 x 48"" x coil","19,000lbs",2024-08-06,DVL,DVL,"$1,873.00",,Y,Y,Y
2024-07-16,DAN,Main Steel,"Elk Grove Village, IL",Shawn,C208995,,"201LN .075"" x 48 x 120 / 96","31,700lbs",2024-08-06,Essence,"Sarnia, ON","$2,050.00",,Y,Y,Y
2024-07-08,DAN,Uniserv,"Brookfield, OH",Jeremiah,C209005,,"201LN 2B, 7ga x 9.4"" x coil","48,3000lbs",2024-08-07,Formule Transit,"Lacolle, QC ","$2,200.00",,Y,Y,Y
2024-07-22,DAN,Main Steel,"Harmony, PA",Mark,C209021,,"201LN .060"" x 48  x 120","29,000lbs",2024-08-07,Essence,"Lansdown, ON ","$1,750.00",,Y,Y,Y
2024-07-16,DAN,Main Steel,"Harmony, PA",Mark,C208993,,"201LN .075"" x 48 x 120","30,000lbs",,,,,,Y,Y,Y
2024-07-10,DAN,Main Steel,"Harmony, PA",Mark,C209003,,"201LN .075"" x 48 x 144","28,000lbs",2024-08-06,,,"$1,750.00",,Y,Y,Y
2024-07-16,DAN,Main Steel,"Harmony, PA",Mark,C209001,,"201LN .075"" x 48 x 144/120"," 26,830lbs",2024-08-08,,,,,Y,Y,Y
2024-07-22,IXE,Leveltek,"Benwood, WV",Kelly,C208926,,"201LN 1/4H .075 x 48"" x 144""","26,000lbs",2024-08-07,Essence,"Lansdown, ON ","$1,850.00",,Y,Y,Y
2024-07-23,IXE,Leveltek,"Benwood, WV",Kelly,C209004,,"201LN 1/4H .125 x 48"" x 96""/120""","61,000lbs",2024-08-08,,,,,Y,Y,Y
2024-07-22,IXE,Leveltek,"Benwood, WV",Kelly,C209020,,"201LN 1/4H .030 x 48"" x 120""","30,620lbs",2024-08-12,Essence,"Lansdown, ON ","$1,850.00",,Y,Y,Y
2024-07-18,IXE,Polished Metals,"Union, NJ",Mark,C209017,,"316L #8, 3/8"" x 60"" x 120""","36,919lbs",2024-08-13,Formule Transit,"Lacolle, QC","$1,300.00",,Y,Y,Y
2024-08-01,RW,Polished Metals,"Union, NJ",Mark,P215453,,"316 # 8, 14GA X 48"" X 120""",126lbs,,,,,,Y,Y,Y
2024-08-13,MD,Main Steel,"Elk Grove Village, IL",Shawn,C209025,,"SSH 201LN #80 1/4HARD PAPER .090 x 48"" x 96""","27,370lbs",2024-08-13,Essence,"Sarnia, ON","$2,100.00",,Y,Y,Y
2024-07-25,PG,CMC,"Bellwood, IL",Manny,C209023,,SSH 304 #4 22ga x 48 x  96 / 120,"20,475lbs",,,,,,Y,Y,Y
2024-07-31,AA,Kingmaker,"Somerset, NJ",Vera,P215450,,304 Tubes - 20ft 5 bundles,600lbs,2024-08-15,Formule Transit," Lacolle, QC ","$1,400.00",,Y,Y,Y
2024-08-02,RW,Kingmaker,"Somerset, NJ",Vera,P215455,,304 Tubes - 20ft 8 bundles,"5,300lbs",,,,,,Y,Y,Y
2024-07-22,IX,Amerinox,"Camden, NJ",Rick,C209019,,"316L #4 20Ra, #4, 2B 16ga x 48 x 96 / 120","15,995lbs",,,,,,Y,Y,Y
2024-08-01,DAN,Amerinox,"Camden, NJ",Rick,C209022,," SSH 316L X4 4228 REF 12ga x 60"" x 120""","10,000lbs",,,,,,Y,Y,Y
2024-08-15,,Main Steel,"Harmony, PA",Mark,C209035,,"SSH 201LN 1/4 HARD PAPER .060 x 48"" x 96""","34,068lbs",2024-08-19,Essence -Malbert,"Lansdown, ON ","$1,750.00",,Y,Y,Y
2024-06-06,DAN,Amerinox,"Camden, NJ",Rick,C208780,,".060 x 60"" x 120""","2,370lbs",2024-08-21,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
